t_ms,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,label,session_id
1774730115851,3244,2140,-19820,-9076,-18606,-470,Double_Click,day3_me
1774730115851,3148,-188,-18652,-5200,-25519,7778,Double_Click,day3_me
1774730115859,-536,1776,-16816,-5270,-32768,5636,Double_Click,day3_me
1774730115884,-120,5048,-15532,-3222,-32768,3648,Double_Click,day3_me
1774730115884,-5420,6768,-26956,9406,-32521,21337,Double_Click,day3_me
1774730115915,712,8500,-13004,4785,-19985,29733,Double_Click,day3_me
1774730115915,6932,6228,-14596,2136,-30029,20779,Double_Click,day3_me
1774730115917,5244,3764,-9044,3690,-32768,2925,Double_Click,day3_me
1774730115917,-4220,6280,-13884,6850,-32768,-10807,Double_Click,day3_me
1774730115917,-7780,6404,-13516,8886,-20800,-4512,Double_Click,day3_me
1774730115972,-7784,5556,-15144,8167,-7226,3349,Double_Click,day3_me
1774730115972,-5228,4572,-17228,4171,263,7608,Double_Click,day3_me
1774730115977,-1504,5076,-17048,-3158,-3887,2562,Double_Click,day3_me
1774730115977,-2672,6060,-16592,-355,-8321,-2060,Double_Click,day3_me
1774730115977,-4820,6016,-15528,3956,-9639,-3926,Double_Click,day3_me
1774730116026,-6132,4804,-15332,6525,-8283,-4857,Double_Click,day3_me
1774730116026,-6712,2884,-14852,4647,-4032,-4755,Double_Click,day3_me
1774730116026,-7132,2756,-14776,2947,-1779,-3331,Double_Click,day3_me
1774730116026,-7212,2804,-14724,1679,316,-1323,Double_Click,day3_me
1774730116211,-6808,2892,-14784,573,1705,384,Double_Click,day3_me
1774730116211,-6184,2880,-15344,302,2423,755,Double_Click,day3_me
1774730116221,-5496,2808,-15508,115,1958,1034,Double_Click,day3_me
1774730116223,-5492,2812,-15316,-660,1559,862,Double_Click,day3_me
1774730116223,-5908,3316,-15972,-1103,2142,870,Double_Click,day3_me
1774730121473,-4188,3304,-16560,17,-278,-119,Double_Click,day3_me
1774730122135,-4016,3172,-16660,185,-93,-36,Double_Click,day3_me
1774730122138,-3844,3080,-16688,-51,-302,-40,Double_Click,day3_me
1774730122159,-4100,3200,-16540,-357,-361,-70,Double_Click,day3_me
1774730122159,-4260,3268,-16440,-310,-112,-131,Double_Click,day3_me
1774730122159,-4108,3140,-16596,-9,55,-12,Double_Click,day3_me
1774730122159,-4092,3132,-16616,-70,-7,-80,Double_Click,day3_me
1774730122165,-4220,3268,-16576,41,103,-51,Double_Click,day3_me
1774730122165,-3996,3100,-16552,220,92,-105,Double_Click,day3_me
1774730122168,-3976,3000,-16712,126,-168,-265,Double_Click,day3_me
1774730122168,-4216,3052,-16608,-192,237,43,Double_Click,day3_me
1774730122168,-4036,3096,-16660,-204,250,101,Double_Click,day3_me
1774730122168,-4152,3168,-16536,-127,203,28,Double_Click,day3_me
1774730122168,-4124,3140,-16588,329,190,-59,Double_Click,day3_me
1774730122168,-3992,2996,-16660,494,106,-132,Double_Click,day3_me
1774730122168,-4148,2876,-16740,-250,152,-50,Double_Click,day3_me
1774730122168,-4048,2992,-16696,-487,272,204,Double_Click,day3_me
1774730122168,-3996,3180,-16740,-481,188,155,Double_Click,day3_me
1774730122168,-3972,3420,-16672,-273,170,39,Double_Click,day3_me
1774730122179,-3956,3364,-16624,172,70,-124,Double_Click,day3_me
1774730122181,-4032,3168,-16840,349,126,-15,Double_Click,day3_me
1774730122181,-3904,3136,-16976,64,86,109,Double_Click,day3_me
1774730122181,-3784,3088,-16840,-168,-78,39,Double_Click,day3_me
1774730122181,-3840,3176,-16904,-272,-282,-127,Double_Click,day3_me
1774730122181,-4092,3280,-16752,-167,-213,-171,Double_Click,day3_me
1774730122199,-3980,3200,-16596,119,-22,-31,Double_Click,day3_me
1774730122199,-3964,3188,-16716,149,-50,-75,Double_Click,day3_me
1774730122204,-3940,3132,-16688,80,-218,-167,Double_Click,day3_me
1774730122206,-4036,2948,-16636,201,-186,-274,Double_Click,day3_me
1774730122206,-4060,2940,-16728,-114,-94,14,Double_Click,day3_me
1774730122206,-4032,3068,-16592,-298,-217,37,Double_Click,day3_me
1774730122206,-4104,3188,-16532,-102,-206,67,Double_Click,day3_me
1774730122219,-4136,3172,-16452,271,-151,-66,Double_Click,day3_me
1774730122219,-4164,3020,-16460,316,-85,-145,Double_Click,day3_me
1774730122222,-4216,2944,-16540,-62,90,32,Double_Click,day3_me
1774730122222,-4264,3128,-16412,-362,239,83,Double_Click,day3_me
1774730122222,-4084,3412,-16616,-50,318,136,Double_Click,day3_me
1774730122229,-3804,3444,-16716,409,15,-114,Double_Click,day3_me
1774730122229,-3876,3196,-16740,847,-655,-591,Double_Click,day3_me
1774730122229,-4084,3032,-16612,744,-832,-727,Double_Click,day3_me
1774730122229,-4364,2972,-16672,591,-213,-668,Double_Click,day3_me
1774730122239,-4052,2852,-16604,401,-181,17,Double_Click,day3_me
1774730122239,-4228,2940,-16864,-170,-85,-128,Double_Click,day3_me
1774730122263,-3856,3044,-16804,334,-650,-286,Double_Click,day3_me
1774730122263,-3880,3048,-17020,497,-1173,-504,Double_Click,day3_me
1774730122263,-4068,2968,-16788,702,-1823,-713,Double_Click,day3_me
