t_ms,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,label,session_id
1774729887320,-7632,6856,-13980,-1231,-4140,506,Left_Click,day3_me
1774729887322,-7768,7228,-13796,-1033,-4513,531,Left_Click,day3_me
1774729887322,-8036,7248,-13560,-296,-4247,444,Left_Click,day3_me
1774729887325,-8016,6948,-13520,29,-3451,-153,Left_Click,day3_me
1774729887330,-8656,6848,-13504,417,-2746,-380,Left_Click,day3_me
1774729887375,-8400,6356,-14588,505,-2932,-716,Left_Click,day3_me
1774729887375,-7784,6148,-14356,-333,-4151,-825,Left_Click,day3_me
1774729887375,-9332,6624,-12856,-555,-2991,-560,Left_Click,day3_me
1774729887375,-9504,6440,-12788,-25,-1461,-396,Left_Click,day3_me
1774729887375,-9164,6080,-13108,-379,-845,-541,Left_Click,day3_me
1774729887439,-9112,6380,-12760,-578,-574,-346,Left_Click,day3_me
1774729887439,-9444,6516,-12304,246,-18,-392,Left_Click,day3_me
1774729887439,-9904,5640,-12460,2031,2966,-152,Left_Click,day3_me
1774729887439,-8644,5008,-14408,964,2511,34,Left_Click,day3_me
1774729887490,-7700,5228,-14536,-341,-55,418,Left_Click,day3_me
1774729887490,-8628,5980,-13616,-117,-1204,716,Left_Click,day3_me
1774729887490,-9388,6204,-13120,668,-392,623,Left_Click,day3_me
1774729887490,-8360,5604,-14040,128,-611,646,Left_Click,day3_me
1774729887504,-8576,5808,-14004,-455,-1121,846,Left_Click,day3_me
1774729887504,-8900,6016,-13620,-539,-879,1039,Left_Click,day3_me
1774729892508,-4564,4448,-16296,-7,103,-26,Left_Click,day3_me
1774729893153,-4420,4384,-16340,3,-76,-107,Left_Click,day3_me
1774729893169,-4504,4356,-16232,-73,-177,-122,Left_Click,day3_me
1774729893169,-4768,4328,-15972,-545,30,-319,Left_Click,day3_me
1774729893169,-4516,4720,-15944,-62,-2,105,Left_Click,day3_me
1774729893169,-4628,4352,-16104,124,-84,-44,Left_Click,day3_me
1774729893185,-4608,4388,-15992,160,-109,-17,Left_Click,day3_me
1774729893185,-4712,4356,-16028,87,-62,-46,Left_Click,day3_me
1774729893185,-4712,4384,-15936,-54,101,-49,Left_Click,day3_me
1774729893185,-4592,4420,-16108,128,103,47,Left_Click,day3_me
1774729893185,-4532,4388,-16096,216,56,84,Left_Click,day3_me
1774729893185,-4628,4256,-16052,196,-23,8,Left_Click,day3_me
1774729893185,-4732,4296,-16072,100,79,-40,Left_Click,day3_me
1774729893185,-4716,4372,-16044,-133,136,-76,Left_Click,day3_me
1774729893185,-4772,4360,-16092,-53,318,-2,Left_Click,day3_me
1774729893185,-4600,4472,-16232,92,359,130,Left_Click,day3_me
1774729893185,-4544,4468,-16308,122,187,41,Left_Click,day3_me
1774729893185,-4604,4488,-16252,163,113,-37,Left_Click,day3_me
1774729893185,-4476,4364,-16532,133,149,112,Left_Click,day3_me
1774729893185,-4376,4576,-16448,162,-133,31,Left_Click,day3_me
1774729893201,-4528,4436,-16444,180,-183,-65,Left_Click,day3_me
1774729893201,-4560,4412,-16524,107,-83,-18,Left_Click,day3_me
1774729893201,-4528,4324,-16516,-105,-68,-86,Left_Click,day3_me
1774729893201,-4652,4532,-16180,-389,-109,-241,Left_Click,day3_me
1774729893201,-4696,4576,-16132,-239,-26,-83,Left_Click,day3_me
1774729893221,-4508,4608,-16140,63,-193,-61,Left_Click,day3_me
1774729893221,-4692,4464,-15972,242,-385,-144,Left_Click,day3_me
1774729893224,-4948,4264,-16000,-67,61,-121,Left_Click,day3_me
1774729893224,-4696,4232,-16056,-297,2,-104,Left_Click,day3_me
1774729893232,-4676,4536,-16016,-138,-75,-83,Left_Click,day3_me
1774729893232,-4620,4552,-16072,185,-93,-85,Left_Click,day3_me
1774729893243,-4648,4300,-16120,264,-59,-130,Left_Click,day3_me
1774729893245,-4652,4188,-16120,48,-146,-84,Left_Click,day3_me
1774729893245,-4688,4288,-16116,73,-167,-68,Left_Click,day3_me
1774729893248,-4760,4300,-16164,-89,-32,-183,Left_Click,day3_me
1774729893248,-4696,4280,-16028,-214,52,-165,Left_Click,day3_me
1774729893248,-4600,4392,-16064,-120,-34,-70,Left_Click,day3_me
1774729893248,-4736,4372,-16144,56,-237,-55,Left_Click,day3_me
1774729893248,-4684,4524,-14532,81,-747,109,Left_Click,day3_me
1774729893264,-4820,3988,-16448,-242,-61,-72,Left_Click,day3_me
1774729893264,-4596,4612,-16032,-1177,-377,-452,Left_Click,day3_me
1774729893264,-4536,4464,-15872,-14,-261,-54,Left_Click,day3_me
1774729893264,-4668,4624,-16104,199,-269,-197,Left_Click,day3_me
1774729893286,-4840,4304,-16048,-163,-205,-60,Left_Click,day3_me
