t_ms,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,label,session_id
1774846560273,2552,1288,-16812,255,788,-1713,Pointer_Movement,day3_me
1774846560273,2572,1192,-16804,364,854,-1507,Pointer_Movement,day3_me
1774846560335,2624,1172,-16836,344,814,-1296,Pointer_Movement,day3_me
1774846560335,2808,1224,-16880,287,838,-1203,Pointer_Movement,day3_me
1774846560335,2912,1524,-16644,238,785,-1102,Pointer_Movement,day3_me
1774846560335,2972,1580,-16588,152,709,-1140,Pointer_Movement,day3_me
1774846560335,2904,1628,-16304,56,647,-1125,Pointer_Movement,day3_me
1774846560335,2840,1708,-16236,191,772,-995,Pointer_Movement,day3_me
1774846560335,3052,1888,-16248,186,806,-956,Pointer_Movement,day3_me
1774846560335,3044,2100,-15800,106,931,-1056,Pointer_Movement,day3_me
1774846560391,3032,2380,-15636,48,1076,-1029,Pointer_Movement,day3_me
1774846560391,3176,2684,-15448,226,1171,-1129,Pointer_Movement,day3_me
1774846560450,3144,2852,-15124,372,1252,-1219,Pointer_Movement,day3_me
1774846560450,3056,2972,-15024,822,1715,-1382,Pointer_Movement,day3_me
1774846560450,3156,2908,-14920,971,1942,-1506,Pointer_Movement,day3_me
1774846560450,3188,2800,-14800,1038,2198,-1791,Pointer_Movement,day3_me
1774846560450,3208,2512,-14984,938,2414,-1903,Pointer_Movement,day3_me
1774846560450,3340,2156,-15076,763,2848,-2161,Pointer_Movement,day3_me
1774846560450,3288,1996,-14856,668,2969,-2195,Pointer_Movement,day3_me
1774846560450,3360,1760,-15056,693,3112,-2219,Pointer_Movement,day3_me
1774846587037,1616,1056,-17000,26,54,204,Pointer_Movement,day3_me
1774846587439,1716,1008,-17004,-39,114,198,Pointer_Movement,day3_me
1774846587439,1632,1136,-16848,-150,189,214,Pointer_Movement,day3_me
1774846587439,1736,1248,-17004,-101,191,223,Pointer_Movement,day3_me
1774846587439,1752,1296,-17000,-50,91,139,Pointer_Movement,day3_me
1774846587439,1808,1312,-16996,-82,16,70,Pointer_Movement,day3_me
1774846587439,1768,1396,-17088,-97,-41,-30,Pointer_Movement,day3_me
1774846587439,1664,1340,-16908,-108,-40,-69,Pointer_Movement,day3_me
1774846587439,1608,1360,-16852,-12,-6,-113,Pointer_Movement,day3_me
1774846587439,1592,1164,-16880,66,83,22,Pointer_Movement,day3_me
1774846587439,1664,1264,-16912,16,118,129,Pointer_Movement,day3_me
1774846587439,1692,1232,-16912,44,204,9,Pointer_Movement,day3_me
1774846587439,1716,1128,-17140,-21,264,-7,Pointer_Movement,day3_me
1774846587439,1788,1108,-17076,-57,193,38,Pointer_Movement,day3_me
1774846587439,1860,1148,-17048,-48,61,-83,Pointer_Movement,day3_me
1774846587439,1772,1112,-17052,-87,64,-195,Pointer_Movement,day3_me
1774846587439,1652,1008,-16976,-153,75,-249,Pointer_Movement,day3_me
1774846587439,1424,752,-17148,-49,-35,136,Pointer_Movement,day3_me
1774846587439,1432,588,-17152,101,-47,425,Pointer_Movement,day3_me
1774846587439,1544,764,-17284,134,295,523,Pointer_Movement,day3_me
1774846587439,1760,912,-17328,271,392,525,Pointer_Movement,day3_me
1774846587439,1900,812,-17472,59,360,552,Pointer_Movement,day3_me
