t_ms,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,label,session_id
1774691244403,528,-1192,17340,786,-2503,-1613,Right_Click,day2_me
1774691244415,-584,-1608,16368,1354,-2885,-2225,Right_Click,day2_me
1774691244431,-1412,-1632,16084,-406,-666,620,Right_Click,day2_me
1774691244477,-836,-1448,16236,-740,547,1020,Right_Click,day2_me
1774691244493,-156,-1304,15872,-973,445,945,Right_Click,day2_me
1774691244547,256,-1176,15852,-1302,-559,516,Right_Click,day2_me
1774691244547,-664,-1224,16632,-416,-800,-619,Right_Click,day2_me
1774691244547,-1052,-1472,16208,-302,94,-269,Right_Click,day2_me
1774691244547,-800,-1020,15152,-919,437,1031,Right_Click,day2_me
1774691244547,-60,-956,16040,-1331,471,1465,Right_Click,day2_me
1774691244556,-92,-1212,16580,120,-742,-644,Right_Click,day2_me
1774691244557,-536,-852,15572,110,-1069,-16,Right_Click,day2_me
1774691244557,-356,-808,15880,203,-552,355,Right_Click,day2_me
1774691244611,92,-924,16136,660,-915,94,Right_Click,day2_me
1774691244611,180,-1448,16324,994,-1569,-930,Right_Click,day2_me
1774691244669,-912,-1408,15684,556,-1419,-553,Right_Click,day2_me
1774691244672,-204,-1080,15040,4,-753,425,Right_Click,day2_me
1774691244672,684,-1320,15796,-729,-1436,9,Right_Click,day2_me
1774691244672,572,-1336,16480,-976,-2857,-1182,Right_Click,day2_me
1774691244672,-1144,-1200,16068,706,-1912,-1335,Right_Click,day2_me
1774691244672,-968,-1140,15316,776,-407,124,Right_Click,day2_me
1774691249955,1032,204,16020,133,-212,-515,Right_Click,day2_me
1774691250234,800,120,15996,-89,-98,-317,Right_Click,day2_me
1774691250250,848,220,15984,236,-76,-190,Right_Click,day2_me
1774691250250,860,-20,15936,428,150,-187,Right_Click,day2_me
1774691250250,988,-260,15776,0,71,-62,Right_Click,day2_me
1774691250250,984,-96,15732,-240,25,3,Right_Click,day2_me
1774691250250,1212,332,15716,-173,122,143,Right_Click,day2_me
1774691250250,1264,296,15952,4,-204,-51,Right_Click,day2_me
1774691250250,1268,132,16020,196,-378,-394,Right_Click,day2_me
1774691250250,844,88,15908,172,-278,-335,Right_Click,day2_me
1774691250250,852,-4,15868,-102,-20,-38,Right_Click,day2_me
1774691250250,1172,-44,15732,119,72,74,Right_Click,day2_me
1774691250250,1280,-208,15752,-235,-166,37,Right_Click,day2_me
1774691250250,1100,36,15924,-353,-219,-74,Right_Click,day2_me
1774691250250,896,124,16016,-236,121,166,Right_Click,day2_me
1774691250250,1020,96,15936,-148,321,278,Right_Click,day2_me
1774691250250,1304,152,15624,239,140,181,Right_Click,day2_me
