t_ms,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,label,session_id
1774691608223,2524,2744,-16896,-909,875,-208,Scroll_Down,day2_me
1774691608238,2616,2820,-16964,-556,828,-179,Scroll_Down,day2_me
1774691608254,2752,2792,-17172,-315,563,-125,Scroll_Down,day2_me
1774691608254,2648,2756,-17180,-719,343,-245,Scroll_Down,day2_me
1774691608270,2556,2780,-17048,-758,464,-226,Scroll_Down,day2_me
1774691608273,2696,2756,-17200,-752,465,-228,Scroll_Down,day2_me
1774691608298,2592,2840,-17188,-779,473,-227,Scroll_Down,day2_me
1774691608301,2764,3096,-17268,-380,427,-161,Scroll_Down,day2_me
1774691608317,2896,2996,-17500,-349,449,-213,Scroll_Down,day2_me
1774691608317,2924,2912,-17700,-545,321,-286,Scroll_Down,day2_me
1774691608383,2940,2924,-17652,-620,159,-254,Scroll_Down,day2_me
1774691608390,3044,2984,-17664,-350,-160,-254,Scroll_Down,day2_me
1774691608390,2928,2868,-17756,-334,-173,-263,Scroll_Down,day2_me
1774691608390,2948,2756,-17972,-437,-236,-226,Scroll_Down,day2_me
1774691608393,3036,2768,-18184,-535,-401,-179,Scroll_Down,day2_me
1774691608446,3088,2876,-18360,-612,-629,-155,Scroll_Down,day2_me
1774691608446,3168,2836,-18484,-650,-811,-182,Scroll_Down,day2_me
1774691608446,2964,2880,-18616,-728,-824,-232,Scroll_Down,day2_me
1774691608446,3040,2608,-18744,-1149,-782,-256,Scroll_Down,day2_me
1774691613618,-1544,1972,-17204,120,63,88,Scroll_Down,day2_me
1774691613870,-1600,2152,-16928,68,-96,-112,Scroll_Down,day2_me
1774691613885,-1652,1868,-17048,104,43,-108,Scroll_Down,day2_me
1774691613885,-1744,1792,-17116,-51,104,46,Scroll_Down,day2_me
1774691613890,-1684,1972,-17196,-32,167,79,Scroll_Down,day2_me
1774691613892,-1676,2068,-17280,-60,75,-30,Scroll_Down,day2_me
1774691613892,-1588,1992,-17336,-166,50,-15,Scroll_Down,day2_me
1774691613892,-1572,2056,-17372,-222,-3,-2,Scroll_Down,day2_me
1774691613892,-1608,2176,-17228,-215,-64,-35,Scroll_Down,day2_me
1774691613892,-1620,2056,-17200,2,-16,11,Scroll_Down,day2_me
1774691613892,-1588,2096,-17268,8,-89,81,Scroll_Down,day2_me
1774691613892,-1592,2168,-17324,-42,-144,15,Scroll_Down,day2_me
1774691613892,-1576,2176,-17160,-46,-221,-44,Scroll_Down,day2_me
1774691613892,-1612,2112,-17120,35,-233,48,Scroll_Down,day2_me
1774691613892,-1680,2132,-17056,-5,-206,-73,Scroll_Down,day2_me
1774691613892,-1688,2036,-16988,-136,-91,-119,Scroll_Down,day2_me
1774691613892,-1700,1992,-17024,-230,19,-172,Scroll_Down,day2_me
