t_ms,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,label,session_id
1774677603395,6140,15064,-9872,-7924,9446,4914,Scroll_Left,day1_me
1774677603411,4720,18776,-7460,-7006,8278,4077,Scroll_Left,day1_me
1774677603428,4240,19852,-6584,1664,8525,2093,Scroll_Left,day1_me
1774677603433,4696,18116,-7600,3741,7672,1239,Scroll_Left,day1_me
1774677603433,4440,16508,-8324,3443,6506,839,Scroll_Left,day1_me
1774677603444,4056,15724,-8376,1946,5650,707,Scroll_Left,day1_me
1774677603513,3512,15848,-7384,-1077,3820,545,Scroll_Left,day1_me
1774677603513,3252,16144,-6632,-2106,2784,369,Scroll_Left,day1_me
1774677603513,3040,16856,-5660,-1825,1830,176,Scroll_Left,day1_me
1774677603513,2700,16940,-4580,-621,1361,162,Scroll_Left,day1_me
1774677603513,2360,16232,-3696,112,1076,114,Scroll_Left,day1_me
1774677603568,2336,16100,-3420,-346,1108,213,Scroll_Left,day1_me
1774677603568,2212,16184,-2928,-431,1022,393,Scroll_Left,day1_me
1774677603568,2168,16352,-2552,-114,963,486,Scroll_Left,day1_me
1774677603568,2240,16256,-2788,295,818,552,Scroll_Left,day1_me
1774677603568,2368,15992,-3280,-1319,5,476,Scroll_Left,day1_me
1774677603631,2424,16368,-2712,-2008,-412,356,Scroll_Left,day1_me
1774677603695,2572,16712,-2552,-2044,-879,272,Scroll_Left,day1_me
1774677603695,2452,17160,-1772,-1510,-1068,180,Scroll_Left,day1_me
1774677603695,2388,17284,-980,253,-617,-416,Scroll_Left,day1_me
1774677603695,2164,16948,-1140,984,-230,-671,Scroll_Left,day1_me
1774677603699,1984,16372,-1196,1200,336,-730,Scroll_Left,day1_me
1774677603699,1852,16284,-1192,1425,961,-623,Scroll_Left,day1_me
1774677609162,-1564,16328,968,345,-147,-99,Scroll_Left,day1_me
1774677609528,-1656,16080,708,-52,228,-173,Scroll_Left,day1_me
1774677609546,-1460,16028,616,-280,110,-112,Scroll_Left,day1_me
1774677609550,-1592,16172,756,-302,-29,-72,Scroll_Left,day1_me
1774677609550,-1724,16148,708,-279,57,3,Scroll_Left,day1_me
1774677609550,-1556,16228,896,-113,109,-9,Scroll_Left,day1_me
1774677609550,-1508,16148,1036,175,28,-93,Scroll_Left,day1_me
1774677609550,-1572,15916,1040,64,135,-104,Scroll_Left,day1_me
1774677609560,-1604,16120,1100,112,256,-60,Scroll_Left,day1_me
1774677609560,-1520,15952,992,336,159,-51,Scroll_Left,day1_me
1774677609563,-1560,15968,928,238,80,34,Scroll_Left,day1_me
1774677609565,-1604,16204,708,65,-51,-58,Scroll_Left,day1_me
1774677609570,-1608,16268,744,353,-166,-83,Scroll_Left,day1_me
1774677609570,-1624,16124,712,507,-252,49,Scroll_Left,day1_me
1774677609570,-1732,16092,700,315,-143,76,Scroll_Left,day1_me
1774677609572,-1772,16112,856,54,111,48,Scroll_Left,day1_me
1774677609574,-1628,16356,664,-165,22,167,Scroll_Left,day1_me
1774677609574,-1612,16432,696,174,-34,137,Scroll_Left,day1_me
1774677609574,-1452,16304,756,266,-157,44,Scroll_Left,day1_me
1774677609575,-1372,16212,908,38,-343,-4,Scroll_Left,day1_me
1774677609577,-1552,16360,1096,-15,-268,-21,Scroll_Left,day1_me
1774677609580,-1520,16092,1220,212,-8,-26,Scroll_Left,day1_me
1774677609583,-1572,15964,1084,-106,33,14,Scroll_Left,day1_me
1774677609585,-1492,16204,1284,-314,77,118,Scroll_Left,day1_me
1774677609588,-1472,16344,1160,-177,54,42,Scroll_Left,day1_me
1774677609588,-1508,16388,1008,-86,114,-17,Scroll_Left,day1_me
1774677609588,-1428,16292,864,272,-86,-146,Scroll_Left,day1_me
1774677609595,-1588,16140,996,344,-83,-141,Scroll_Left,day1_me
1774677609595,-1688,16056,876,199,1,-95,Scroll_Left,day1_me
1774677609595,-1724,16012,760,105,96,-37,Scroll_Left,day1_me
1774677609598,-1652,16020,816,26,80,44,Scroll_Left,day1_me
1774677609600,-1616,16148,700,-153,248,92,Scroll_Left,day1_me
1774677609602,-1452,16076,672,-412,261,96,Scroll_Left,day1_me
1774677609602,-1404,16360,816,-424,80,46,Scroll_Left,day1_me
1774677609602,-1456,16448,756,-73,-15,-44,Scroll_Left,day1_me
1774677609607,-1492,16360,696,31,-45,-112,Scroll_Left,day1_me
1774677609607,-1488,16228,924,-64,-100,-165,Scroll_Left,day1_me
1774677609611,-1512,16116,972,-148,-70,-121,Scroll_Left,day1_me
