t_ms,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,label,session_id
1774725716805,-2488,15028,-2316,-212,1559,-793,Scroll_Right,day2_me
1774725716822,-2236,14904,-2116,-1075,1498,-1063,Scroll_Right,day2_me
1774725716823,-2456,14880,-1940,-1340,1714,-1088,Scroll_Right,day2_me
1774725716836,-2520,15032,-1536,-1520,2300,-928,Scroll_Right,day2_me
1774725716862,-2428,15064,-1316,-1533,2896,-833,Scroll_Right,day2_me
1774725716868,-1992,15572,-800,-2015,4284,-744,Scroll_Right,day2_me
1774725716925,-1712,15752,-684,-1740,5112,-684,Scroll_Right,day2_me
1774725716925,-1312,15844,-680,-1703,5680,-715,Scroll_Right,day2_me
1774725716928,-1032,16088,-672,-1526,6004,-943,Scroll_Right,day2_me
1774725716928,-828,16440,-788,-1068,6321,-1469,Scroll_Right,day2_me
1774725716928,-740,16820,-452,-831,6610,-1670,Scroll_Right,day2_me
1774725716984,-576,17112,-340,-244,6926,-2219,Scroll_Right,day2_me
1774725716984,-604,17012,-412,269,7446,-2698,Scroll_Right,day2_me
1774725717038,-816,16212,-1076,-44,8767,-3003,Scroll_Right,day2_me
1774725717048,-676,16020,-904,-502,8991,-3106,Scroll_Right,day2_me
1774725717048,-888,16176,-500,-740,9402,-3387,Scroll_Right,day2_me
1774725717048,-1136,15908,-516,-999,10304,-3461,Scroll_Right,day2_me
1774725717048,-1492,15748,-604,-2870,12442,-2954,Scroll_Right,day2_me
1774725717048,-1736,16108,-796,-3263,13893,-2742,Scroll_Right,day2_me
1774725717048,-1580,15948,-1676,-3931,15276,-2430,Scroll_Right,day2_me
1774725717048,-1348,15924,-1984,-5145,15926,-2129,Scroll_Right,day2_me
1774725722832,-2532,15552,-4416,36,20,-13,Scroll_Right,day2_me
1774725723252,-2420,15520,-4384,-29,-68,15,Scroll_Right,day2_me
1774725723254,-2508,15508,-4220,-35,-278,-114,Scroll_Right,day2_me
1774725723265,-2680,15536,-4092,35,-193,4,Scroll_Right,day2_me
1774725723265,-2528,15600,-4168,-26,97,127,Scroll_Right,day2_me
1774725723269,-2512,15648,-4204,-70,14,87,Scroll_Right,day2_me
1774725723271,-2472,15708,-4328,-74,-51,131,Scroll_Right,day2_me
1774725723271,-2512,15884,-4176,-64,46,120,Scroll_Right,day2_me
1774725723271,-2480,15952,-4132,142,155,78,Scroll_Right,day2_me
1774725723271,-2404,15892,-4396,53,81,41,Scroll_Right,day2_me
1774725723271,-2428,15860,-4280,69,-53,-84,Scroll_Right,day2_me
1774725723271,-2548,15800,-4480,95,-37,-135,Scroll_Right,day2_me
1774725723271,-2484,15788,-4420,9,-23,-85,Scroll_Right,day2_me
1774725723271,-2512,15772,-4380,-15,-118,-157,Scroll_Right,day2_me
1774725723271,-2708,15580,-4160,-73,-140,-200,Scroll_Right,day2_me
1774725723271,-2740,15660,-4268,51,56,-40,Scroll_Right,day2_me
1774725723271,-2592,15632,-4116,19,166,26,Scroll_Right,day2_me
1774725723271,-2504,15640,-4192,-68,97,3,Scroll_Right,day2_me
1774725723271,-2460,15724,-4164,-10,38,-32,Scroll_Right,day2_me
1774725723271,-2424,15740,-4132,19,-8,-186,Scroll_Right,day2_me
1774725723271,-2660,15648,-4272,82,-10,-121,Scroll_Right,day2_me
1774725723271,-2520,15664,-4288,-2,45,-153,Scroll_Right,day2_me
1774725723271,-2484,15628,-4184,-122,12,-215,Scroll_Right,day2_me
1774725723271,-2596,15668,-4092,-57,72,-156,Scroll_Right,day2_me
1774725723271,-2480,15592,-4216,-79,98,-96,Scroll_Right,day2_me
1774725723271,-2552,15572,-4212,-56,-12,-209,Scroll_Right,day2_me
1774725723271,-2784,15536,-4272,170,108,-61,Scroll_Right,day2_me
1774725723271,-2708,15556,-4220,53,232,79,Scroll_Right,day2_me
1774725723271,-2468,15568,-4196,-123,103,-22,Scroll_Right,day2_me
1774725723271,-2684,15692,-4196,-12,215,-36,Scroll_Right,day2_me
1774725723271,-2512,15612,-4232,-10,292,-78,Scroll_Right,day2_me
1774725723271,-2540,15588,-4280,-126,188,-125,Scroll_Right,day2_me
1774725723271,-2592,15624,-4144,-174,172,-156,Scroll_Right,day2_me
1774725723271,-2680,15676,-4220,-72,199,-155,Scroll_Right,day2_me
1774725723271,-2544,15616,-4360,3,179,-15,Scroll_Right,day2_me
1774725723271,-2484,15696,-4180,-128,5,-225,Scroll_Right,day2_me
1774725723271,-2676,15620,-4052,34,23,-270,Scroll_Right,day2_me
1774725723271,-2848,15508,-4272,53,211,-80,Scroll_Right,day2_me
1774725723279,-2772,15420,-4148,-92,362,-8,Scroll_Right,day2_me
1774725723279,-2784,15520,-3864,79,457,-61,Scroll_Right,day2_me
1774725723279,-2628,15468,-3804,307,514,-68,Scroll_Right,day2_me
1774725723296,-2664,15460,-3868,576,652,-220,Scroll_Right,day2_me
1774725723310,-3000,14888,-4912,761,1060,-669,Scroll_Right,day2_me
1774725723328,-4444,13084,-6732,-274,1773,-1132,Scroll_Right,day2_me
1774725723342,-7704,11240,-10920,-4684,7048,829,Scroll_Right,day2_me
1774725723353,-7224,12840,-14252,-4359,8961,4060,Scroll_Right,day2_me
1774725723357,-4760,13456,-18316,-3839,8753,5614,Scroll_Right,day2_me
1774725723359,-3052,14524,-20776,-2246,8195,5641,Scroll_Right,day2_me
1774725723404,2020,15888,-26424,3018,1533,9767,Scroll_Right,day2_me
1774725723404,5144,14796,-26768,1269,-3541,8013,Scroll_Right,day2_me
1774725723404,7104,14880,-24868,323,-10151,4965,Scroll_Right,day2_me
1774725723420,7276,14736,-22536,-861,-14577,1633,Scroll_Right,day2_me
1774725723437,6288,15056,-18844,1282,-18857,1004,Scroll_Right,day2_me
1774725723437,6496,14692,-17732,2539,-19653,2041,Scroll_Right,day2_me
1774725723452,7084,14272,-16692,3876,-21160,2610,Scroll_Right,day2_me
1774725723468,7544,14196,-15684,4618,-23444,2957,Scroll_Right,day2_me
1774725723487,7020,14568,-13256,6081,-26881,2431,Scroll_Right,day2_me
1774725723487,6416,14876,-12640,7294,-27981,2678,Scroll_Right,day2_me
1774725723501,6240,15040,-12284,8020,-28496,3531,Scroll_Right,day2_me
1774725723520,6320,15104,-11856,7988,-28884,4265,Scroll_Right,day2_me
1774725723536,6384,15448,-10288,7020,-29815,5131,Scroll_Right,day2_me
