t_ms,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,label,session_id
1774691535166,-3696,1088,-11764,-1852,8193,-1457,Scroll_Up,day2_me
1774691535177,-3180,928,-12468,-2647,8267,-1508,Scroll_Up,day2_me
1774691535186,-2732,1024,-13072,-3610,8046,-1382,Scroll_Up,day2_me
1774691535186,-2464,1368,-13084,-4023,7388,-956,Scroll_Up,day2_me
1774691535200,-1732,2540,-13600,-3563,7282,307,Scroll_Up,day2_me
1774691535216,-1508,2620,-13948,-2870,7006,335,Scroll_Up,day2_me
1774691535241,-1584,2540,-14608,-2745,7024,592,Scroll_Up,day2_me
1774691535264,-1400,2224,-14944,-3556,6709,543,Scroll_Up,day2_me
1774691535264,-1504,2680,-15196,-5771,7301,340,Scroll_Up,day2_me
1774691535264,-1448,2760,-15212,-6604,8013,238,Scroll_Up,day2_me
1774691535285,-1092,2984,-15584,-7728,8511,280,Scroll_Up,day2_me
1774691535300,-832,3356,-15572,-8422,8727,521,Scroll_Up,day2_me
1774691535315,-560,4460,-16092,-8788,9370,783,Scroll_Up,day2_me
1774691535328,-280,4708,-16112,-9200,9499,703,Scroll_Up,day2_me
1774691535392,-112,4912,-16376,-9517,9651,783,Scroll_Up,day2_me
1774691535392,88,5400,-16436,-9358,9802,1063,Scroll_Up,day2_me
1774691535392,496,5536,-16948,-8200,9596,1314,Scroll_Up,day2_me
1774691535392,560,5700,-17460,-8311,9557,1512,Scroll_Up,day2_me
1774691535392,240,5644,-17584,-8163,9748,1569,Scroll_Up,day2_me
1774691535392,84,5716,-17704,-7714,10493,2167,Scroll_Up,day2_me
1774691540543,3404,2776,-16420,1,201,-91,Scroll_Up,day2_me
1774691540737,3424,2732,-16660,29,76,49,Scroll_Up,day2_me
1774691540737,3224,2816,-16288,-153,-89,-40,Scroll_Up,day2_me
1774691540737,3220,2756,-16244,-201,112,-2,Scroll_Up,day2_me
1774691540755,3300,2868,-16320,-289,235,17,Scroll_Up,day2_me
1774691540755,3304,2972,-16440,-386,298,-28,Scroll_Up,day2_me
1774691540755,3572,3108,-16400,-32,108,-16,Scroll_Up,day2_me
1774691540762,3568,3072,-16500,60,68,-39,Scroll_Up,day2_me
1774691540762,3448,2976,-16664,57,125,-125,Scroll_Up,day2_me
1774691540762,3624,2876,-16736,-101,126,-176,Scroll_Up,day2_me
1774691540762,3584,2924,-16828,-2,48,-134,Scroll_Up,day2_me
1774691540762,3532,2744,-16896,128,-92,-123,Scroll_Up,day2_me
1774691540762,3444,2780,-16820,177,-190,-31,Scroll_Up,day2_me
1774691540762,3356,2704,-16808,152,-196,39,Scroll_Up,day2_me
1774691540769,3292,2736,-16708,68,-182,-55,Scroll_Up,day2_me
1774691540771,3192,2688,-16668,-170,46,15,Scroll_Up,day2_me
1774691540771,3336,2804,-16540,-66,26,12,Scroll_Up,day2_me
1774691540771,3308,2860,-16508,22,173,116,Scroll_Up,day2_me
1774691540771,3324,2748,-16524,47,192,66,Scroll_Up,day2_me
1774691540771,3400,2776,-16644,-47,227,87,Scroll_Up,day2_me
1774691540771,3520,2912,-16632,-12,121,12,Scroll_Up,day2_me
1774691540771,3496,2940,-16484,-31,28,-7,Scroll_Up,day2_me
1774691540776,3368,2824,-16436,-100,-50,-51,Scroll_Up,day2_me
1774691540778,3272,2912,-16288,-103,68,-90,Scroll_Up,day2_me
1774691540780,3212,2856,-16300,-127,231,-96,Scroll_Up,day2_me
1774691540794,3232,2824,-16296,59,355,43,Scroll_Up,day2_me
1774691540810,3344,2880,-16248,179,311,151,Scroll_Up,day2_me
1774691540853,3228,2864,-16224,183,338,143,Scroll_Up,day2_me
1774691540913,3212,2744,-16236,52,436,10,Scroll_Up,day2_me
1774691540924,3236,2664,-16280,-351,656,-44,Scroll_Up,day2_me
1774691540924,3352,2848,-16236,-524,808,-61,Scroll_Up,day2_me
1774691540924,3412,2900,-16080,-447,828,-25,Scroll_Up,day2_me
1774691540924,3396,2896,-16196,-397,846,-64,Scroll_Up,day2_me
1774691540924,3324,2784,-16104,-591,897,-52,Scroll_Up,day2_me
1774691540924,3180,2896,-15840,-1134,1397,-285,Scroll_Up,day2_me
1774691540924,3152,2928,-15836,-1240,1578,-314,Scroll_Up,day2_me
1774691540924,2960,2916,-15744,-1065,1677,-327,Scroll_Up,day2_me
1774691540940,2840,2740,-16008,-1052,1775,-344,Scroll_Up,day2_me
1774691540959,2192,2800,-15652,-1314,1848,-419,Scroll_Up,day2_me
1774691540959,1568,2904,-15304,-1581,2170,-569,Scroll_Up,day2_me
1774691540974,796,3188,-15208,-1774,2957,-655,Scroll_Up,day2_me
1774691540989,496,3440,-15208,-1664,4150,-564,Scroll_Up,day2_me
1774691541004,1524,4224,-17816,700,6548,384,Scroll_Up,day2_me
1774691541019,2044,4384,-20024,1834,7361,399,Scroll_Up,day2_me
1774691541035,2644,4272,-21544,2392,7581,-184,Scroll_Up,day2_me
1774691541035,2376,3804,-23292,3601,8485,-815,Scroll_Up,day2_me
1774691541048,5132,1896,-28332,3046,10009,-1321,Scroll_Up,day2_me
1774691541079,6008,1640,-31084,2537,9979,-1622,Scroll_Up,day2_me
1774691541081,7452,1096,-32768,1945,9412,-2192,Scroll_Up,day2_me
1774691541090,9060,704,-32768,104,8124,-2465,Scroll_Up,day2_me
1774691541102,11180,1348,-32768,-3037,4355,-3117,Scroll_Up,day2_me
1774691541102,12496,2492,-32768,-2634,2505,-2033,Scroll_Up,day2_me
1774691541123,14552,3980,-32768,-407,-1094,-939,Scroll_Up,day2_me
1774691541138,15640,5064,-32768,1536,-5297,-38,Scroll_Up,day2_me
1774691541153,18168,7288,-32768,5303,-15587,-420,Scroll_Up,day2_me
1774691541166,17760,7240,-31880,5939,-19511,-1365,Scroll_Up,day2_me
1774691541184,17064,7040,-30068,5559,-21182,-2785,Scroll_Up,day2_me
1774691541198,16764,5548,-27144,1588,-22132,-6926,Scroll_Up,day2_me
1774691541209,16076,4416,-25684,-1873,-22066,-8141,Scroll_Up,day2_me
1774691541209,15692,4172,-23504,-4995,-22410,-8945,Scroll_Up,day2_me
1774691541229,14584,6688,-17824,-7568,-25114,-9225,Scroll_Up,day2_me
1774691541245,12820,6608,-13984,-5952,-28434,-9206,Scroll_Up,day2_me
1774691541263,10068,6428,-9632,-3314,-31480,-7626,Scroll_Up,day2_me
1774691541273,7092,6444,-5540,-13,-31877,-5686,Scroll_Up,day2_me
1774691541289,2264,5884,-348,3106,-27280,-3357,Scroll_Up,day2_me
1774691541289,624,5756,1084,2328,-24564,-3784,Scroll_Up,day2_me
1774691541320,-1592,5760,2012,1141,-20782,-4377,Scroll_Up,day2_me
1774691541320,-2712,4776,2932,966,-16568,-5508,Scroll_Up,day2_me
1774691541368,-4968,3068,3128,1743,-9507,-5420,Scroll_Up,day2_me
1774691541368,-5448,2648,2556,2499,-6633,-4924,Scroll_Up,day2_me
1774691541370,-5908,2264,1580,3721,-4191,-4563,Scroll_Up,day2_me
1774691541370,-5836,1688,92,5240,-2260,-3995,Scroll_Up,day2_me
1774691541374,-5548,96,-2816,6767,-154,-3281,Scroll_Up,day2_me
1774691541407,-5496,-936,-3960,6195,284,-2875,Scroll_Up,day2_me
1774691541407,-5676,-1332,-4844,5166,99,-2462,Scroll_Up,day2_me
1774691541423,-5888,-1348,-5164,5047,626,-1883,Scroll_Up,day2_me
1774691541453,-6032,-1752,-6868,4546,2757,-968,Scroll_Up,day2_me
1774691541453,-5392,-1760,-8212,3825,3221,-721,Scroll_Up,day2_me
1774691541453,-4896,-1632,-9240,3058,3533,-608,Scroll_Up,day2_me
1774691541468,-4364,-1168,-10480,2331,4061,-637,Scroll_Up,day2_me
1774691541546,-3124,-540,-12528,1864,2709,-142,Scroll_Up,day2_me
1774691541546,-3096,-172,-13196,1923,1553,286,Scroll_Up,day2_me
1774691541546,-3112,164,-13556,2307,240,318,Scroll_Up,day2_me
1774691541546,-3452,-192,-13988,1975,-417,205,Scroll_Up,day2_me
1774691541546,-4100,-556,-14916,480,246,50,Scroll_Up,day2_me
1774691541546,-4028,-472,-15504,-131,540,6,Scroll_Up,day2_me
1774691541546,-3932,-320,-15948,-746,567,-19,Scroll_Up,day2_me
1774691541578,-3960,-84,-16256,-1061,456,82,Scroll_Up,day2_me
1774691541578,-3868,528,-17184,-813,198,685,Scroll_Up,day2_me
1774691541578,-3928,592,-17368,-647,-273,802,Scroll_Up,day2_me
1774691541601,-3944,768,-17480,-753,-510,903,Scroll_Up,day2_me
1774691541610,-3984,1080,-17496,-970,-660,777,Scroll_Up,day2_me
1774691541627,-4056,1368,-17288,-1311,-685,570,Scroll_Up,day2_me
1774691541649,-4076,1580,-17280,-1546,-557,358,Scroll_Up,day2_me
1774691541679,-3980,1804,-17404,-1538,-560,493,Scroll_Up,day2_me
1774691541679,-3736,1936,-17212,-1252,-1037,619,Scroll_Up,day2_me
1774691541679,-3952,2284,-16916,-78,-1697,505,Scroll_Up,day2_me
1774691541692,-4156,1716,-16872,-37,-1675,-49,Scroll_Up,day2_me
1774691541740,-4368,1464,-16564,-566,-1531,-50,Scroll_Up,day2_me
1774691541756,-4408,1460,-16364,-1042,-1325,-346,Scroll_Up,day2_me
1774691541756,-4668,2084,-15744,-1672,-690,-669,Scroll_Up,day2_me
1774691541756,-4756,2100,-15676,-1593,-294,-888,Scroll_Up,day2_me
1774691541756,-4980,2084,-15616,-1562,403,-800,Scroll_Up,day2_me
1774691541756,-4660,1928,-15808,-1409,1017,-915,Scroll_Up,day2_me
1774691541772,-4132,1816,-16032,-980,699,-359,Scroll_Up,day2_me
