t_ms,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,label,session_id
1774678529202,-19620,4784,9092,6937,32767,6053,Swipe_Up,day1_me
1774678529219,-18800,4300,8292,7678,32767,5113,Swipe_Up,day1_me
1774678529225,-17168,3132,5352,6837,32767,5351,Swipe_Up,day1_me
1774678529225,-14440,2596,1676,5750,32767,6263,Swipe_Up,day1_me
1774678529225,-13080,2500,-1240,6238,32767,7616,Swipe_Up,day1_me
1774678529225,-13212,2636,-1932,6668,32767,7590,Swipe_Up,day1_me
1774678529260,-13500,2244,-2000,5441,32767,6227,Swipe_Up,day1_me
1774678529260,-14972,2000,-1496,1809,32767,5252,Swipe_Up,day1_me
1774678529260,-13668,3140,-3028,-4223,32767,5182,Swipe_Up,day1_me
1774678529260,-13020,3564,-3544,-4802,32767,4938,Swipe_Up,day1_me
1774678529320,-12596,3940,-4992,-4189,32767,5617,Swipe_Up,day1_me
1774678529320,-10808,3764,-5860,-2856,32767,6800,Swipe_Up,day1_me
1774678529320,-9168,3000,-6948,-1808,32767,9246,Swipe_Up,day1_me
1774678529320,-8988,2760,-6884,-2460,32767,10120,Swipe_Up,day1_me
1774678529320,-8488,3004,-8196,-3564,32767,10908,Swipe_Up,day1_me
1774678529365,-6812,3136,-10808,-3140,32767,8256,Swipe_Up,day1_me
1774678529381,-1900,5216,-13348,-109,32767,9054,Swipe_Up,day1_me
1774678529381,-412,4424,-13156,1011,32767,8172,Swipe_Up,day1_me
1774678529384,212,3452,-14084,-1016,31632,8636,Swipe_Up,day1_me
1774678529384,452,3640,-13660,-4619,28462,8912,Swipe_Up,day1_me
1774678529430,-544,7152,-13812,-8148,26911,4836,Swipe_Up,day1_me
1774678529430,-1660,8296,-14964,-3195,25743,4018,Swipe_Up,day1_me
1774678529430,-880,7440,-13820,1153,24904,6102,Swipe_Up,day1_me
1774678529430,-188,5900,-13484,2595,23922,4610,Swipe_Up,day1_me
1774678529445,-252,5216,-13888,-1096,23685,4155,Swipe_Up,day1_me
1774678538089,360,2584,-17004,-173,-130,9,Swipe_Down,day1_me
1774678538398,516,2744,-17100,-267,-165,-14,Swipe_Down,day1_me
1774678538398,392,2816,-16988,-348,-296,-174,Swipe_Down,day1_me
1774678538398,192,2912,-16792,-344,-231,-222,Swipe_Down,day1_me
1774678538413,132,2816,-16760,-106,379,-25,Swipe_Down,day1_me
1774678538413,464,2864,-16908,34,230,58,Swipe_Down,day1_me
1774678538413,544,2816,-16972,-9,-79,21,Swipe_Down,day1_me
1774678538413,432,2772,-16768,-62,-96,-22,Swipe_Down,day1_me
1774678538413,428,2780,-16816,-6,-1,122,Swipe_Down,day1_me
1774678538413,456,2604,-16848,64,84,-63,Swipe_Down,day1_me
1774678538413,276,2664,-16808,-278,252,-108,Swipe_Down,day1_me
1774678538413,424,2776,-17064,-223,209,76,Swipe_Down,day1_me
1774678538413,780,2872,-17184,159,-186,365,Swipe_Down,day1_me
1774678538413,724,2976,-17156,371,-454,361,Swipe_Down,day1_me
1774678538413,148,2692,-16748,80,-84,38,Swipe_Down,day1_me
1774678538413,280,2808,-17024,-106,328,37,Swipe_Down,day1_me
1774678538413,512,2868,-17032,-142,372,-68,Swipe_Down,day1_me
1774678538413,564,2816,-16984,-311,209,-242,Swipe_Down,day1_me
1774678538413,280,2852,-16812,-332,265,-256,Swipe_Down,day1_me
1774678538413,272,2904,-16860,-82,373,-135,Swipe_Down,day1_me
1774678538413,388,2808,-17004,87,262,-146,Swipe_Down,day1_me
1774678538413,424,2728,-17160,-82,158,-100,Swipe_Down,day1_me
1774678538413,312,2616,-17064,-234,243,-102,Swipe_Down,day1_me
1774678538413,532,2940,-17164,121,170,52,Swipe_Down,day1_me
1774678538413,384,2764,-17084,110,90,-73,Swipe_Down,day1_me
1774678538413,204,2692,-17112,-44,173,-102,Swipe_Down,day1_me
1774678538413,472,2624,-17248,17,298,56,Swipe_Down,day1_me
1774678538413,676,2860,-17384,164,72,178,Swipe_Down,day1_me
1774678538413,512,2756,-17164,224,-230,-15,Swipe_Down,day1_me
1774678538429,336,2488,-17352,-18,33,-27,Swipe_Down,day1_me
1774678538446,556,2656,-17312,-254,120,149,Swipe_Down,day1_me
1774678538449,700,2912,-17420,-144,-149,96,Swipe_Down,day1_me
1774678538462,516,2920,-17264,31,-390,95,Swipe_Down,day1_me
1774678538476,388,2812,-17076,102,-212,30,Swipe_Down,day1_me
1774678538492,392,2792,-17012,73,-119,-80,Swipe_Down,day1_me
1774678538508,392,2712,-17092,-49,-9,-55,Swipe_Down,day1_me
1774678538547,468,2776,-17084,-51,-16,25,Swipe_Down,day1_me
1774678538547,580,2844,-17084,168,-179,91,Swipe_Down,day1_me
1774678538547,488,2644,-17088,76,-386,61,Swipe_Down,day1_me
1774678538547,284,2812,-16856,-37,-340,57,Swipe_Down,day1_me
1774678538565,380,2828,-16840,141,-253,59,Swipe_Down,day1_me
1774678538571,544,2644,-17188,65,-195,35,Swipe_Down,day1_me
1774678538571,612,2696,-17204,-132,-372,29,Swipe_Down,day1_me
1774678538586,512,2624,-17244,-27,-388,16,Swipe_Down,day1_me
1774678538606,672,2620,-17300,-294,-528,1,Swipe_Down,day1_me
1774678538625,584,2772,-17200,-326,-627,-26,Swipe_Down,day1_me
1774678538625,432,2728,-17216,-203,-761,-71,Swipe_Down,day1_me
1774678538637,340,2672,-17100,-549,-981,-132,Swipe_Down,day1_me
1774678538654,292,2644,-17308,-794,-1220,-63,Swipe_Down,day1_me
1774678538666,396,2592,-17612,-1221,-1790,5,Swipe_Down,day1_me
