t_ms,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,label,session_id
1774677924552,2088,16224,2888,-500,4347,1079,Swipe_Left,day1_me
1774677924552,2396,16716,2320,488,3596,1158,Swipe_Left,day1_me
1774677924552,2720,15948,1992,2049,1728,1467,Swipe_Left,day1_me
1774677924552,2620,15776,1932,1963,1473,1693,Swipe_Left,day1_me
1774677924552,2536,15864,2000,1976,1653,1741,Swipe_Left,day1_me
1774677924607,2668,15928,2044,1970,2155,1816,Swipe_Left,day1_me
1774677924607,3120,16040,1740,1740,2793,1669,Swipe_Left,day1_me
1774677924607,3244,16036,1336,1391,3099,1374,Swipe_Left,day1_me
1774677924607,3704,15948,988,746,3125,892,Swipe_Left,day1_me
1774677924607,4084,16032,724,29,2733,421,Swipe_Left,day1_me
1774677924671,4128,16392,856,-212,2249,258,Swipe_Left,day1_me
1774677924671,3984,16396,1036,757,1277,-269,Swipe_Left,day1_me
1774677924671,4012,16308,1192,1227,527,-514,Swipe_Left,day1_me
1774677924671,3492,15808,1016,860,222,-543,Swipe_Left,day1_me
1774677924671,3124,15824,1172,390,565,-491,Swipe_Left,day1_me
1774677924727,3144,15912,1624,499,618,-267,Swipe_Left,day1_me
1774677924727,3104,15624,1460,785,1031,-51,Swipe_Left,day1_me
1774677924727,3304,15672,1228,608,1224,21,Swipe_Left,day1_me
1774677924734,3484,15720,1068,148,1176,-215,Swipe_Left,day1_me
1774677924734,3620,15800,740,-64,892,-339,Swipe_Left,day1_me
1774677929979,-392,16620,-456,-111,-64,-101,Swipe_Left,day1_me
1774677930351,-332,16380,-544,-117,173,-231,Swipe_Left,day1_me
1774677930351,-460,16188,-696,-139,337,11,Swipe_Left,day1_me
1774677930351,-440,16228,-588,9,313,-52,Swipe_Left,day1_me
1774677930360,-428,16180,-640,288,312,26,Swipe_Left,day1_me
1774677930360,-448,16228,-592,613,238,57,Swipe_Left,day1_me
1774677930360,-432,15976,-752,507,138,-18,Swipe_Left,day1_me
1774677930360,-412,15860,-1056,-865,-194,-208,Swipe_Left,day1_me
1774677930360,-452,15992,-892,-1304,-169,-140,Swipe_Left,day1_me
1774677930367,-468,16088,-704,-1708,-76,-193,Swipe_Left,day1_me
1774677930367,-476,16664,-396,-1295,-68,-17,Swipe_Left,day1_me
1774677930367,-464,16688,-232,-402,-88,2,Swipe_Left,day1_me
1774677930369,-664,16216,-376,89,250,58,Swipe_Left,day1_me
1774677930371,-448,16268,-452,154,304,72,Swipe_Left,day1_me
1774677930373,-396,15976,-740,-28,145,79,Swipe_Left,day1_me
1774677930373,-404,16236,-492,-280,-149,167,Swipe_Left,day1_me
1774677930377,-300,16504,-588,-25,-393,102,Swipe_Left,day1_me
1774677930379,-444,16560,-308,254,-464,-53,Swipe_Left,day1_me
1774677930379,-496,16400,-528,218,-406,-168,Swipe_Left,day1_me
1774677930379,-576,16276,-380,23,-311,-101,Swipe_Left,day1_me
1774677930379,-684,16404,-172,142,-97,3,Swipe_Left,day1_me
1774677930379,-740,16492,-236,444,180,93,Swipe_Left,day1_me
1774677930379,-540,16132,-592,449,683,230,Swipe_Left,day1_me
1774677930381,-472,16044,-668,-85,560,181,Swipe_Left,day1_me
1774677930381,-316,15996,-984,-521,236,87,Swipe_Left,day1_me
1774677930383,-216,16140,-824,-745,-249,47,Swipe_Left,day1_me
1774677930385,-280,16408,-748,-667,-575,28,Swipe_Left,day1_me
1774677930387,-288,16724,-284,161,-710,-156,Swipe_Left,day1_me
1774677930387,-476,16372,-388,115,-361,-232,Swipe_Left,day1_me
1774677930391,-400,16056,-336,-193,-240,-210,Swipe_Left,day1_me
1774677930391,-360,16084,-484,-429,-355,-127,Swipe_Left,day1_me
1774677930393,-408,16080,-624,-527,-568,-26,Swipe_Left,day1_me
1774677930395,-340,16316,-284,-669,-1302,-170,Swipe_Left,day1_me
