t_ms,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,label,session_id
1774678077569,5596,13852,-920,5420,-9656,-14966,Swipe_Right,day1_me
1774678077569,1436,10944,4368,1233,-3816,-9463,Swipe_Right,day1_me
1774678077570,920,9908,4608,-1497,-1967,-5883,Swipe_Right,day1_me
1774678077579,36,10828,4900,-3999,-109,-2380,Swipe_Right,day1_me
1774678077600,-216,12240,4984,-4801,1629,586,Swipe_Right,day1_me
1774678077602,648,15168,3132,-5840,3960,3947,Swipe_Right,day1_me
1774678077618,1852,16688,2040,-5638,3653,3954,Swipe_Right,day1_me
1774678077618,2524,18096,1324,-4727,2639,3122,Swipe_Right,day1_me
1774678077640,2512,19012,1524,-3800,2041,1346,Swipe_Right,day1_me
1774678077653,2412,18536,904,-1139,2619,-1670,Swipe_Right,day1_me
1774678077665,2632,17376,352,165,2028,-2275,Swipe_Right,day1_me
1774678077683,2020,16208,120,563,1904,-2358,Swipe_Right,day1_me
1774678077718,1596,15440,-368,215,2276,-1643,Swipe_Right,day1_me
1774678077718,1236,15156,-648,-348,2793,-698,Swipe_Right,day1_me
1774678077718,1188,15440,-676,-2195,4497,1342,Swipe_Right,day1_me
1774678077728,2000,16412,-1092,-2327,4762,1994,Swipe_Right,day1_me
1774678082645,2936,15636,2164,-261,-183,-94,Swipe_Right,day1_me
1774678082997,2932,15744,2212,-56,-263,31,Swipe_Right,day1_me
1774678082997,2884,15740,2372,142,-255,63,Swipe_Right,day1_me
1774678082997,2812,15716,2384,112,-120,42,Swipe_Right,day1_me
1774678082997,2908,15708,2308,40,107,-97,Swipe_Right,day1_me
1774678082997,2988,15704,2220,-116,210,-175,Swipe_Right,day1_me
1774678082997,3004,15748,2292,-133,189,-99,Swipe_Right,day1_me
1774678082997,3036,15824,2264,-32,182,-93,Swipe_Right,day1_me
1774678082997,3152,15792,2144,-14,111,-139,Swipe_Right,day1_me
1774678082997,3112,15716,2192,-565,-176,-414,Swipe_Right,day1_me
1774678083005,2796,15792,2332,-470,-242,-343,Swipe_Right,day1_me
1774678083005,2692,15684,2332,-271,-176,-294,Swipe_Right,day1_me
1774678083005,2728,15616,2348,-216,-16,-175,Swipe_Right,day1_me
1774678083005,2784,15580,2324,-44,83,-94,Swipe_Right,day1_me
1774678083005,2684,15524,2164,140,45,24,Swipe_Right,day1_me
1774678083005,2804,15580,1916,124,77,73,Swipe_Right,day1_me
1774678083005,2920,15520,1976,139,31,65,Swipe_Right,day1_me
1774678083005,2980,15400,1892,-71,-89,-31,Swipe_Right,day1_me
1774678083005,2932,15508,2188,-302,-214,37,Swipe_Right,day1_me
1774678083005,2884,15696,2216,31,-143,181,Swipe_Right,day1_me
1774678083005,2936,15632,2252,-112,-126,80,Swipe_Right,day1_me
1774678083005,2904,15668,2376,-223,-125,38,Swipe_Right,day1_me
1774678083005,2812,15760,2476,-133,-148,75,Swipe_Right,day1_me
1774678083005,2768,15852,2620,5,-41,102,Swipe_Right,day1_me
1774678083005,2812,15852,2636,-23,74,122,Swipe_Right,day1_me
1774678083005,2764,16024,2456,13,41,149,Swipe_Right,day1_me
1774678083005,2788,15972,2540,202,131,202,Swipe_Right,day1_me
1774678083005,2940,15928,2260,233,188,167,Swipe_Right,day1_me
1774678083021,3112,15916,2092,-124,63,-19,Swipe_Right,day1_me
1774678083021,2928,15980,2240,325,-106,8,Swipe_Right,day1_me
1774678083051,2916,15744,2164,164,28,-71,Swipe_Right,day1_me
1774678083053,2880,15872,2112,33,58,-149,Swipe_Right,day1_me
1774678083053,2836,15832,2232,-36,61,-196,Swipe_Right,day1_me
1774678083053,2852,15788,2220,28,68,-177,Swipe_Right,day1_me
1774678083053,2720,15816,2596,122,-66,-45,Swipe_Right,day1_me
1774678083053,2672,15864,2572,263,72,70,Swipe_Right,day1_me
1774678083082,2796,15796,2400,369,186,30,Swipe_Right,day1_me
1774678083082,3028,15616,2320,182,174,-61,Swipe_Right,day1_me
