t_ms,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,label,session_id
1774726072083,-15052,-2644,-4636,321,19352,-22399,Swipe_Up,day2_me
1774726072099,-14192,-4288,-6072,313,19007,-20147,Swipe_Up,day2_me
1774726072114,-13264,-5168,-7964,-5549,17895,-15145,Swipe_Up,day2_me
1774726072116,-12996,-4248,-8756,-7495,17075,-12906,Swipe_Up,day2_me
1774726072128,-13412,-3160,-8772,-8620,17824,-14490,Swipe_Up,day2_me
1774726072144,-13596,-2212,-8704,-7682,19313,-17935,Swipe_Up,day2_me
1774726072209,-11548,-4224,-10452,335,18075,-20577,Swipe_Up,day2_me
1774726072209,-11128,-5936,-11312,492,18099,-21131,Swipe_Up,day2_me
1774726072209,-10824,-6388,-11584,-773,18799,-22273,Swipe_Up,day2_me
1774726072209,-10416,-5312,-11464,-1968,19638,-22946,Swipe_Up,day2_me
1774726072209,-10036,-4964,-11276,-3592,17074,-22073,Swipe_Up,day2_me
1774726072209,-10084,-5012,-10844,-5614,16321,-22472,Swipe_Up,day2_me
1774726072339,-9700,-5248,-10400,-4438,17711,-23061,Swipe_Up,day2_me
1774726072339,-6520,-8120,-12756,5370,25534,-27690,Swipe_Up,day2_me
1774726072339,-5360,-8512,-13908,9688,26728,-27358,Swipe_Up,day2_me
1774726072339,-4276,-9072,-15124,10099,22175,-19917,Swipe_Up,day2_me
1774726072339,-3568,-11820,-15600,-1217,10478,-12259,Swipe_Up,day2_me
1774726072339,-4400,-10564,-14632,-9371,7916,-16627,Swipe_Up,day2_me
1774726072339,-6372,-6948,-13100,-12705,9048,-17818,Swipe_Up,day2_me
1774726079276,3088,5544,-15520,-78,448,165,Swipe_Up,day2_me
1774726079641,3304,5868,-15836,747,379,346,Swipe_Up,day2_me
1774726079657,3600,5548,-16128,701,142,-95,Swipe_Up,day2_me
1774726079660,3240,5328,-15972,200,167,-131,Swipe_Up,day2_me
1774726079660,3200,5424,-15876,-85,412,-77,Swipe_Up,day2_me
1774726079660,3348,5464,-15852,-138,546,-175,Swipe_Up,day2_me
1774726079660,3304,5528,-15652,-221,493,-230,Swipe_Up,day2_me
1774726079660,3260,5576,-15720,279,178,52,Swipe_Up,day2_me
1774726079660,3380,5428,-15840,331,61,5,Swipe_Up,day2_me
1774726079660,3228,5184,-15792,60,-85,-101,Swipe_Up,day2_me
1774726079660,3148,5236,-15624,-169,-163,-101,Swipe_Up,day2_me
1774726079660,3032,5360,-15500,-10,142,-6,Swipe_Up,day2_me
1774726079660,3252,5376,-15636,-63,248,174,Swipe_Up,day2_me
1774726079660,3296,5424,-15700,-125,115,108,Swipe_Up,day2_me
1774726079660,3320,5552,-15752,67,85,196,Swipe_Up,day2_me
1774726079660,3432,5416,-15884,148,-11,70,Swipe_Up,day2_me
1774726079660,3416,5388,-15708,3,-271,51,Swipe_Up,day2_me
1774726079660,3300,5480,-15856,185,-128,50,Swipe_Up,day2_me
1774726079660,3380,5400,-16008,64,-165,-51,Swipe_Up,day2_me
1774726079660,3404,5520,-15972,-124,-417,-183,Swipe_Up,day2_me
1774726079660,3412,5496,-15788,-145,-579,-337,Swipe_Up,day2_me
1774726079660,3128,5428,-15680,-104,-543,-239,Swipe_Up,day2_me
1774726079660,3120,5460,-15648,134,-315,68,Swipe_Up,day2_me
1774726079660,3036,5428,-15912,394,66,243,Swipe_Up,day2_me
1774726079660,3312,5344,-15872,209,-217,149,Swipe_Up,day2_me
1774726079660,3328,5436,-15840,287,-530,141,Swipe_Up,day2_me
1774726079660,3224,5484,-15820,453,-680,95,Swipe_Up,day2_me
1774726079660,3268,5220,-15792,151,-1010,-100,Swipe_Up,day2_me
1774726079660,3192,5140,-15812,-47,-1461,-218,Swipe_Up,day2_me
1774726079660,3040,5224,-15988,116,-1753,-128,Swipe_Up,day2_me
1774726079660,3088,5388,-15936,192,-1909,88,Swipe_Up,day2_me
1774726079660,3036,5548,-15596,491,-1988,-116,Swipe_Up,day2_me
1774726079660,2988,5648,-15728,731,-2619,-362,Swipe_Up,day2_me
1774726079660,3024,5516,-15664,910,-3388,-741,Swipe_Up,day2_me
1774726079680,2868,5460,-15684,1016,-4003,-865,Swipe_Up,day2_me
1774726079694,2612,5340,-15596,1086,-4191,-533,Swipe_Up,day2_me
1774726079705,2804,5360,-16044,1444,-6382,-1025,Swipe_Up,day2_me
1774726079721,2892,5288,-16524,1174,-8580,-1294,Swipe_Up,day2_me
1774726079739,2648,5508,-16344,1111,-9740,-1797,Swipe_Up,day2_me
1774726079815,1704,5432,-15944,2019,-8048,-1753,Swipe_Up,day2_me
1774726079831,1680,5056,-16004,2016,-7602,-1919,Swipe_Up,day2_me
1774726079831,1220,5240,-16208,1663,-7593,-1956,Swipe_Up,day2_me
1774726079831,1388,4816,-16364,2340,-7379,-1818,Swipe_Up,day2_me
1774726079831,944,4848,-16520,1861,-6844,-1038,Swipe_Up,day2_me
1774726079831,868,4896,-16508,1796,-6566,-1104,Swipe_Up,day2_me
1774726079831,524,5028,-16360,1769,-5502,-1299,Swipe_Up,day2_me
1774726079831,384,5012,-16312,1212,-4133,-1491,Swipe_Up,day2_me
1774726079849,156,4792,-16400,619,-1874,-1679,Swipe_Up,day2_me
1774726079849,36,4544,-16596,429,-766,-1321,Swipe_Up,day2_me
1774726079868,-60,4376,-16188,297,-14,-772,Swipe_Up,day2_me
1774726079868,24,4584,-16408,667,613,-309,Swipe_Up,day2_me
1774726079879,192,4480,-16812,813,989,31,Swipe_Up,day2_me
1774726079894,284,4664,-16516,627,720,-166,Swipe_Up,day2_me
1774726079916,280,4544,-16344,665,930,14,Swipe_Up,day2_me
1774726079936,324,4600,-16452,852,1131,31,Swipe_Up,day2_me
1774726079936,348,4664,-16536,1096,1452,186,Swipe_Up,day2_me
1774726079949,524,4616,-16136,1150,1583,84,Swipe_Up,day2_me
1774726079983,212,4616,-15816,1155,2484,198,Swipe_Up,day2_me
1774726079985,276,4480,-16020,1144,2961,192,Swipe_Up,day2_me
1774726079998,96,4500,-15672,1023,3518,260,Swipe_Up,day2_me
1774726079998,-4,4508,-15604,1423,4408,440,Swipe_Up,day2_me
1774726080010,-240,4508,-15400,2041,6052,709,Swipe_Up,day2_me
1774726080024,-1072,4348,-14528,1475,11021,1696,Swipe_Up,day2_me
1774726080040,-1424,5236,-14060,2395,15840,2062,Swipe_Up,day2_me
1774726080054,-1192,5104,-13932,1640,21272,2256,Swipe_Up,day2_me
1774726080070,-1572,4888,-14108,1470,28236,3175,Swipe_Up,day2_me
1774726080070,1376,4220,-15444,1677,32767,4525,Swipe_Up,day2_me
1774726080086,3436,2904,-16476,2367,32767,5251,Swipe_Up,day2_me
1774726080094,5920,1404,-19440,3742,32767,6130,Swipe_Up,day2_me
1774726080102,11116,2068,-29464,8152,21994,7056,Swipe_Up,day2_me
1774726080146,32767,15136,-32768,1146,-32768,13643,Swipe_Up,day2_me
1774726080150,32767,23588,-32768,-6622,-32768,-3535,Swipe_Up,day2_me
1774726080151,32767,16868,-32768,-8124,-32768,-32768,Swipe_Up,day2_me
1774726080151,32767,7764,-32768,-786,-32768,-25210,Swipe_Up,day2_me
1774726080166,32767,5264,-23820,-13800,-32768,-5516,Swipe_Up,day2_me
1774726080190,32767,-7136,-2996,-25814,-32768,-32119,Swipe_Up,day2_me
1774726080197,32767,-3220,28124,-32768,-32768,-32768,Swipe_Up,day2_me
1774726080216,-5744,-11548,32767,-15487,-32768,-32768,Swipe_Up,day2_me
1774726080230,-32768,-10456,32767,1039,-32768,-32768,Swipe_Up,day2_me
1774726080246,-32768,-14132,32767,13770,-32768,-6413,Swipe_Up,day2_me
1774726080246,-2688,-15456,18064,1242,-32768,-7622,Swipe_Up,day2_me
1774726080262,544,-11908,15676,-3700,-29769,-641,Swipe_Up,day2_me
1774726080278,5076,-8136,16556,-2151,-28067,132,Swipe_Up,day2_me
